Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849.00,0.00,146.41,360.00,1.0,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583.00,1508.00,128.00,360.00,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000.00,0.00,66.00,360.00,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583.00,2358.00,120.00,360.00,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,6000.00,0.00,141.00,360.00,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417.00,4196.00,267.00,360.00,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333.00,1516.00,95.00,360.00,1.0,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036.00,2504.00,158.00,360.00,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006.00,1526.00,168.00,360.00,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841.00,10968.00,349.00,360.00,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200.00,700.00,70.00,360.00,1.0,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500.00,1840.00,109.00,360.00,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073.00,8106.00,200.00,360.00,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,1853.00,2840.00,114.00,360.00,1.0,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299.00,1086.00,17.00,120.00,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,4950.00,0.00,125.00,360.00,1.0,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596.00,0.00,100.00,240.00,1.0,Urban,Y
LP001036,Female,No,0,Graduate,No,3510.00,0.00,76.00,360.00,0.0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887.00,0.00,133.00,360.00,1.0,Rural,N
LP001041,Male,Yes,0,Graduate,No,2600.00,3500.00,115.00,342.00,1.0,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660.00,0.00,104.00,360.00,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,5955.00,5625.00,315.00,360.00,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600.00,1911.00,116.00,360.00,0.0,Semiurban,N
LP001050,Male,Yes,2,Not Graduate,No,3365.00,1917.00,112.00,360.00,0.0,Rural,N
LP001052,Male,Yes,1,Graduate,No,3717.00,2925.00,151.00,360.00,1.0,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9560.00,0.00,191.00,360.00,1.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2799.00,2253.00,122.00,360.00,1.0,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226.00,1040.00,110.00,360.00,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442.00,0.00,35.00,360.00,1.0,Urban,N
LP001087,Female,No,2,Graduate,No,3750.00,2083.00,120.00,360.00,1.0,Semiurban,Y
LP001091,Male,Yes,1,Graduate,No,4166.00,3369.00,201.00,360.00,1.0,Urban,N
LP001095,Male,No,0,Graduate,No,3167.00,0.00,74.00,360.00,1.0,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692.00,0.00,106.00,360.00,1.0,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500.00,1667.00,114.00,360.00,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,12500.00,3000.00,320.00,360.00,1.0,Rural,N
LP001106,Male,Yes,0,Graduate,No,2275.00,2067.00,146.41,360.00,1.0,Urban,Y
LP001109,Male,Yes,0,Graduate,No,1828.00,1330.00,100.00,342.00,0.0,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667.00,1459.00,144.00,360.00,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166.00,7210.00,184.00,360.00,1.0,Urban,Y
LP001116,Male,No,0,Not Graduate,No,3748.00,1668.00,110.00,360.00,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600.00,0.00,80.00,360.00,1.0,Urban,N
LP001120,Male,No,0,Graduate,No,1800.00,1213.00,47.00,360.00,1.0,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400.00,0.00,75.00,360.00,1.0,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941.00,2336.00,134.00,360.00,1.0,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695.00,0.00,96.00,342.00,1.0,Urban,Y
LP001137,Female,No,0,Graduate,No,3410.00,0.00,88.00,342.00,1.0,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649.00,0.00,44.00,360.00,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821.00,0.00,144.00,360.00,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645.00,3440.00,120.00,360.00,0.0,Urban,N
LP001151,Female,No,0,Graduate,No,4000.00,2275.00,144.00,360.00,1.0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928.00,1644.00,100.00,360.00,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086.00,0.00,120.00,360.00,1.0,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230.00,0.00,112.00,360.00,1.0,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616.00,0.00,134.00,360.00,1.0,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,11500.00,0.00,286.00,360.00,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708.00,1167.00,97.00,360.00,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132.00,1591.00,96.00,360.00,1.0,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366.00,2200.00,135.00,360.00,1.0,Rural,N
LP001198,Male,Yes,1,Graduate,No,8080.00,2250.00,180.00,360.00,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357.00,2859.00,144.00,360.00,1.0,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500.00,3796.00,120.00,360.00,1.0,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029.00,0.00,99.00,360.00,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609.00,3449.00,165.00,180.00,0.0,Rural,N
LP001213,Male,Yes,1,Graduate,No,4945.00,0.00,146.41,360.00,0.0,Rural,N
LP001222,Female,No,0,Graduate,No,4166.00,0.00,116.00,360.00,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,5726.00,4595.00,258.00,360.00,1.0,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200.00,2254.00,126.00,180.00,0.0,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750.00,0.00,312.00,360.00,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100.00,0.00,125.00,60.00,1.0,Urban,Y
LP001241,Female,No,0,Graduate,No,4300.00,0.00,136.00,360.00,0.0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,3208.00,3066.00,172.00,360.00,1.0,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875.00,1875.00,97.00,360.00,1.0,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500.00,0.00,81.00,300.00,1.0,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755.00,0.00,95.00,342.00,0.0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,5266.00,1774.00,187.00,360.00,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750.00,0.00,113.00,480.00,1.0,Urban,N
LP001256,Male,No,0,Graduate,No,3750.00,4750.00,176.00,360.00,1.0,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1000.00,3022.00,110.00,360.00,1.0,Urban,N
LP001263,Male,Yes,3+,Graduate,No,3167.00,4000.00,180.00,300.00,0.0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,3333.00,2166.00,130.00,360.00,1.0,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846.00,0.00,111.00,360.00,1.0,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395.00,0.00,146.41,360.00,1.0,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378.00,1881.00,167.00,360.00,1.0,Urban,N
LP001273,Male,Yes,0,Graduate,No,6000.00,2250.00,265.00,360.00,1.0,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,3988.00,0.00,50.00,240.00,1.0,Urban,Y
LP001279,Male,No,0,Graduate,No,2366.00,2531.00,136.00,360.00,1.0,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333.00,2000.00,99.00,360.00,1.0,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500.00,2118.00,104.00,360.00,1.0,Semiurban,Y
LP001289,Male,No,0,Graduate,No,8566.00,0.00,210.00,360.00,1.0,Urban,Y
LP001310,Male,Yes,0,Graduate,No,5695.00,4167.00,175.00,360.00,1.0,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958.00,2900.00,131.00,360.00,1.0,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250.00,5654.00,188.00,180.00,1.0,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273.00,1820.00,81.00,360.00,1.0,Urban,Y
LP001322,Male,No,0,Graduate,No,4133.00,0.00,122.00,360.00,1.0,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3620.00,0.00,25.00,120.00,1.0,Semiurban,Y
LP001326,Male,No,0,Graduate,No,6782.00,0.00,146.41,360.00,1.0,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484.00,2302.00,137.00,360.00,1.0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977.00,997.00,50.00,360.00,1.0,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188.00,0.00,115.00,180.00,1.0,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1759.00,3541.00,131.00,360.00,1.0,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,4288.00,3263.00,133.00,180.00,1.0,Urban,Y
LP001349,Male,No,0,Graduate,No,4843.00,3806.00,151.00,360.00,1.0,Semiurban,Y
LP001350,Male,Yes,0,Graduate,No,13650.00,0.00,146.41,360.00,1.0,Urban,Y
LP001356,Male,Yes,0,Graduate,No,4652.00,3583.00,146.41,360.00,1.0,Semiurban,Y
LP001357,Male,Yes,0,Graduate,No,3816.00,754.00,160.00,360.00,1.0,Urban,Y
LP001367,Male,Yes,1,Graduate,No,3052.00,1030.00,100.00,360.00,1.0,Urban,Y
LP001369,Male,Yes,2,Graduate,No,11417.00,1126.00,225.00,360.00,1.0,Urban,Y
LP001370,Male,No,0,Not Graduate,No,7333.00,0.00,120.00,360.00,1.0,Rural,N
LP001379,Male,Yes,2,Graduate,No,3800.00,3600.00,216.00,360.00,0.0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,2071.00,754.00,94.00,480.00,1.0,Semiurban,Y
LP001385,Male,No,0,Graduate,No,5316.00,0.00,136.00,360.00,1.0,Urban,Y
LP001387,Female,Yes,0,Graduate,No,2929.00,2333.00,139.00,360.00,1.0,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,3572.00,4114.00,152.00,342.00,0.0,Rural,N
LP001392,Female,No,1,Graduate,Yes,7451.00,0.00,146.41,360.00,1.0,Semiurban,Y
LP001398,Male,No,0,Graduate,No,5050.00,0.00,118.00,360.00,1.0,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,14583.00,0.00,185.00,180.00,1.0,Rural,Y
LP001404,Female,Yes,0,Graduate,No,3167.00,2283.00,154.00,360.00,1.0,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,2214.00,1398.00,85.00,360.00,1.0,Urban,Y
LP001421,Male,Yes,0,Graduate,No,5568.00,2142.00,175.00,360.00,1.0,Rural,N
LP001422,Female,No,0,Graduate,No,10408.00,0.00,259.00,360.00,1.0,Urban,Y
LP001426,Male,Yes,0,Graduate,No,5667.00,2667.00,180.00,360.00,1.0,Rural,Y
LP001430,Female,No,0,Graduate,No,4166.00,0.00,44.00,360.00,1.0,Semiurban,Y
LP001431,Female,No,0,Graduate,No,2137.00,8980.00,137.00,360.00,0.0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,2957.00,0.00,81.00,360.00,1.0,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,4300.00,2014.00,194.00,360.00,1.0,Rural,Y
LP001443,Female,No,0,Graduate,No,3692.00,0.00,93.00,360.00,1.0,Rural,Y
LP001448,Male,Yes,3+,Graduate,No,23803.00,0.00,370.00,360.00,1.0,Rural,Y
LP001449,Male,No,0,Graduate,No,3865.00,1640.00,146.41,360.00,1.0,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,10513.00,3850.00,160.00,180.00,0.0,Urban,N
LP001465,Male,Yes,0,Graduate,No,6080.00,2569.00,182.00,360.00,1.0,Rural,N
LP001469,Male,No,0,Graduate,Yes,20166.00,0.00,650.00,480.00,1.0,Urban,Y
LP001473,Male,No,0,Graduate,No,2014.00,1929.00,74.00,360.00,1.0,Urban,Y
LP001478,Male,No,0,Graduate,No,2718.00,0.00,70.00,360.00,1.0,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,3459.00,0.00,25.00,120.00,1.0,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895.00,0.00,102.00,360.00,1.0,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,4000.00,7750.00,290.00,360.00,1.0,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,4583.00,0.00,84.00,360.00,1.0,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,3316.00,3500.00,88.00,360.00,1.0,Urban,Y
LP001492,Male,No,0,Graduate,No,14999.00,0.00,242.00,360.00,0.0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,4200.00,1430.00,129.00,360.00,1.0,Rural,N
LP001497,Male,Yes,2,Graduate,No,5042.00,2083.00,185.00,360.00,1.0,Rural,N
LP001498,Male,No,0,Graduate,No,5417.00,0.00,168.00,360.00,1.0,Urban,Y
LP001504,Male,No,0,Graduate,Yes,6950.00,0.00,175.00,180.00,1.0,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,2698.00,2034.00,122.00,360.00,1.0,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,11757.00,0.00,187.00,180.00,1.0,Urban,Y
LP001514,Female,Yes,0,Graduate,No,2330.00,4486.00,100.00,360.00,1.0,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866.00,0.00,70.00,360.00,1.0,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538.00,1425.00,30.00,360.00,1.0,Urban,Y
LP001519,Female,No,0,Graduate,No,10000.00,1666.00,225.00,360.00,1.0,Rural,N
LP001520,Male,Yes,0,Graduate,No,4860.00,830.00,125.00,360.00,1.0,Semiurban,Y
LP001528,Male,No,0,Graduate,No,6277.00,0.00,118.00,360.00,0.0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,2577.00,3750.00,152.00,360.00,1.0,Rural,Y
LP001531,Male,No,0,Graduate,No,9166.00,0.00,244.00,360.00,1.0,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,2281.00,0.00,113.00,360.00,1.0,Rural,N
LP001535,Male,No,0,Graduate,No,3254.00,0.00,50.00,360.00,1.0,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,39999.00,0.00,600.00,180.00,0.0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,6000.00,0.00,160.00,360.00,1.0,Rural,Y
LP001543,Male,Yes,1,Graduate,No,9538.00,0.00,187.00,360.00,1.0,Urban,Y
LP001546,Male,No,0,Graduate,No,2980.00,2083.00,120.00,360.00,1.0,Rural,Y
LP001552,Male,Yes,0,Graduate,No,4583.00,5625.00,255.00,360.00,1.0,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,1863.00,1041.00,98.00,360.00,1.0,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,7933.00,0.00,275.00,360.00,1.0,Urban,N
LP001565,Male,Yes,1,Graduate,No,3089.00,1280.00,121.00,360.00,0.0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,4167.00,1447.00,158.00,360.00,1.0,Rural,Y
LP001572,Male,Yes,0,Graduate,No,9323.00,0.00,75.00,180.00,1.0,Urban,Y
LP001574,Male,Yes,0,Graduate,No,3707.00,3166.00,182.00,342.00,1.0,Rural,Y
LP001577,Female,Yes,0,Graduate,No,4583.00,0.00,112.00,360.00,1.0,Rural,N
LP001578,Male,Yes,0,Graduate,No,2439.00,3333.00,129.00,360.00,1.0,Rural,Y
LP001579,Male,No,0,Graduate,No,2237.00,0.00,63.00,480.00,0.0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,8000.00,0.00,200.00,360.00,1.0,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,No,1820.00,1769.00,95.00,360.00,1.0,Rural,Y
LP001585,Male,Yes,3+,Graduate,No,51763.00,0.00,700.00,300.00,1.0,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522.00,0.00,81.00,180.00,1.0,Rural,N
LP001594,Male,Yes,0,Graduate,No,5708.00,5625.00,187.00,360.00,1.0,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344.00,736.00,87.00,360.00,1.0,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,3497.00,1964.00,116.00,360.00,1.0,Rural,Y
LP001608,Male,Yes,2,Graduate,No,2045.00,1619.00,101.00,360.00,1.0,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,5516.00,11300.00,495.00,360.00,0.0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,3750.00,0.00,116.00,360.00,1.0,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,2333.00,1451.00,102.00,480.00,0.0,Urban,N
LP001633,Male,Yes,1,Graduate,No,6400.00,7250.00,180.00,360.00,0.0,Urban,N
LP001634,Male,No,0,Graduate,No,1916.00,5063.00,67.00,360.00,1.0,Rural,N
LP001636,Male,Yes,0,Graduate,No,4600.00,0.00,73.00,180.00,1.0,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,33846.00,0.00,260.00,360.00,1.0,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,3625.00,0.00,108.00,360.00,1.0,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,39147.00,4750.00,120.00,360.00,1.0,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178.00,0.00,66.00,300.00,0.0,Rural,N
LP001643,Male,Yes,0,Graduate,No,2383.00,2138.00,58.00,360.00,1.0,Rural,Y
LP001644,Male,Yes,0,Graduate,Yes,674.00,5296.00,168.00,360.00,1.0,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328.00,0.00,188.00,180.00,1.0,Rural,Y
LP001653,Male,No,0,Not Graduate,No,4885.00,0.00,48.00,360.00,1.0,Rural,Y
LP001656,Male,No,0,Graduate,No,12000.00,0.00,164.00,360.00,1.0,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,6033.00,0.00,160.00,360.00,1.0,Urban,N
LP001658,Male,No,0,Graduate,No,3858.00,0.00,76.00,360.00,1.0,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4191.00,0.00,120.00,360.00,1.0,Rural,Y
LP001665,Male,Yes,1,Graduate,No,3125.00,2583.00,170.00,360.00,1.0,Semiurban,N
LP001666,Male,No,0,Graduate,No,8333.00,3750.00,187.00,360.00,1.0,Rural,Y
LP001669,Female,No,0,Not Graduate,No,1907.00,2365.00,120.00,342.00,1.0,Urban,Y
LP001671,Female,Yes,0,Graduate,No,3416.00,2816.00,113.00,360.00,1.0,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,11000.00,0.00,83.00,360.00,1.0,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,2600.00,2500.00,90.00,360.00,1.0,Semiurban,Y
LP001677,Male,No,2,Graduate,No,4923.00,0.00,166.00,360.00,0.0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,3992.00,0.00,146.41,180.00,1.0,Urban,N
